experiment,experiment_label,model_key,model_name,accuracy,macro_precision,macro_recall,macro_f1
disease_10class,Disease 10-class,LR,Logistic Regression,0.2888052681091251,0.2732261674382347,0.291483484330631,0.2625929401751409
disease_10class,Disease 10-class,DT,Decision Tree,0.2847287550956413,0.2739414611877161,0.2870561561266047,0.2761749146157615
disease_10class,Disease 10-class,RF,Random Forest,0.3035434305424898,0.2911807863346854,0.3063317438420061,0.2912645614140181
disease_group_4class,Disease Group 4-class,LR,Logistic Regression,0.4775791784258388,0.4705828017650886,0.4627518895864909,0.4636403613912563
disease_group_4class,Disease Group 4-class,DT,Decision Tree,0.4587645029789903,0.4554099241245189,0.4454299910517069,0.4481578476298998
disease_group_4class,Disease Group 4-class,RF,Random Forest,0.4866729382251489,0.4859402778264052,0.4793461091751698,0.4796081678514047
