model_key,model_name,accuracy,macro_precision,macro_recall,macro_f1,effective_class_weight,model_path,confusion_matrix_png,classification_report_txt,classification_report_json,prediction_csv,lr_coefficients_by_class,feature_importance_csv,feature_importance_png,permutation_importance_csv,permutation_importance_png,dimensionality_visualization
LR,Logistic Regression,0.4775791784258388,0.47058280176508865,0.4627518895864909,0.4636403613912563,,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\models\LR_model.joblib,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\figures\LR_confusion_matrix.png,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\LR_classification_report.txt,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\LR_classification_report.json,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\LR_test_predictions.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\LR_coefficients_by_class.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\LR_feature_importance.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\figures\LR_feature_importance.png,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\LR_permutation_importance.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\figures\LR_permutation_importance.png,"{'pca_coordinates_csv': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_group_4class\\metrics\\LR_PCA_coordinates.csv', 'pca_visualization_png': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_group_4class\\figures\\LR_PCA_visualization.png', 'pca_explained_variance_ratio': [0.6411599492755337, 0.2358442486428644], 'pca_explained_variance_ratio_sum': 0.877004197918398, 'tsne_coordinates_csv': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_group_4class\\metrics\\LR_TSNE_coordinates.csv', 'tsne_visualization_png': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_group_4class\\figures\\LR_TSNE_visualization.png', 'tsne_sample_size': 3000, 'tsne_perplexity_used': 30.0, 'tsne_skipped': False}"
DT,Decision Tree,0.4587645029789903,0.4554099241245189,0.44542999105170694,0.44815784762989985,,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\models\DT_model.joblib,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\figures\DT_confusion_matrix.png,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\DT_classification_report.txt,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\DT_classification_report.json,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\DT_test_predictions.csv,,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\DT_feature_importance.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\figures\DT_feature_importance.png,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\DT_permutation_importance.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\figures\DT_permutation_importance.png,"{'pca_coordinates_csv': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_group_4class\\metrics\\DT_PCA_coordinates.csv', 'pca_visualization_png': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_group_4class\\figures\\DT_PCA_visualization.png', 'pca_explained_variance_ratio': [0.5846338396891408, 0.2635049784710541], 'pca_explained_variance_ratio_sum': 0.848138818160195, 'tsne_coordinates_csv': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_group_4class\\metrics\\DT_TSNE_coordinates.csv', 'tsne_visualization_png': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_group_4class\\figures\\DT_TSNE_visualization.png', 'tsne_sample_size': 3000, 'tsne_perplexity_used': 30.0, 'tsne_skipped': False}"
RF,Random Forest,0.48667293822514895,0.48594027782640525,0.4793461091751698,0.47960816785140475,balanced,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\models\RF_model.joblib,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\figures\RF_confusion_matrix.png,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\RF_classification_report.txt,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\RF_classification_report.json,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\RF_test_predictions.csv,,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\RF_feature_importance.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\figures\RF_feature_importance.png,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\metrics\RF_permutation_importance.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_group_4class\figures\RF_permutation_importance.png,"{'pca_coordinates_csv': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_group_4class\\metrics\\RF_PCA_coordinates.csv', 'pca_visualization_png': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_group_4class\\figures\\RF_PCA_visualization.png', 'pca_explained_variance_ratio': [0.6290239492067062, 0.22004891084487288], 'pca_explained_variance_ratio_sum': 0.8490728600515791, 'tsne_coordinates_csv': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_group_4class\\metrics\\RF_TSNE_coordinates.csv', 'tsne_visualization_png': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_group_4class\\figures\\RF_TSNE_visualization.png', 'tsne_sample_size': 3000, 'tsne_perplexity_used': 30.0, 'tsne_skipped': False}"
