指标名称,字段名,样本数,缺失值数量,Q1,Q3,IQR,异常下界,异常上界,异常值数量,异常值占比(%)
年龄,age,15943,0,50.0,70.0,20.0,20.0,100.0,549,3.4435175312049178
BMI,bmi,15943,0,23.719609250647608,30.627100818057798,6.90749156741019,13.358371899532322,40.98833816917308,293,1.8377971523552656
收缩压,bp_systolic,15943,0,125.0,151.0,26.0,86.0,190.0,4,0.025089380919525808
舒张压,bp_diastolic,15943,0,71.0,84.0,13.0,51.5,103.5,6,0.03763407137928872
胆固醇,cholesterol_mg_dl,15943,0,185.0,230.0,45.0,117.5,297.5,76,0.4766982374709904
血糖,blood_sugar_mg_dl,15943,0,93.0,122.0,29.0,49.5,165.5,1211,7.595810073386438
