指标名称,字段名,样本数,缺失值数量,均值,标准差,最小值,25%分位数,中位数,75%分位数,最大值
年龄,age,15943,0,57.99272407953334,16.62439216945889,10.0,50.0,61.0,70.0,90.0
身高,height_cm,15943,0,168.4926927178072,11.709615638463696,140.0,160.0,168.0,176.0,200.0
体重,weight_kg,15943,0,77.08166593489305,16.675821731471583,40.0,65.0,76.0,88.0,130.0
BMI,bmi,15943,0,27.20380099849822,5.420311893532124,12.010637993651518,23.719609250647608,27.160493827160494,30.627100818057798,43.43850022862368
收缩压,bp_systolic,15943,0,137.57950197578876,19.04990998556861,90.0,125.0,138.0,151.0,192.0
舒张压,bp_diastolic,15943,0,77.50147400112903,9.259984677708687,55.0,71.0,77.0,84.0,106.0
胆固醇,cholesterol_mg_dl,15943,0,208.989713353823,34.146327282069784,125.0,185.0,206.0,230.0,310.0
血糖,blood_sugar_mg_dl,15943,0,111.68907984695478,27.882056837939217,68.0,93.0,106.0,122.0,194.0
