model_key,model_name,accuracy,macro_precision,macro_recall,macro_f1,effective_class_weight,model_path,confusion_matrix_png,classification_report_txt,classification_report_json,prediction_csv,lr_coefficients_by_class,feature_importance_csv,feature_importance_png,permutation_importance_csv,permutation_importance_png,dimensionality_visualization
LR,Logistic Regression,0.2888052681091251,0.27322616743823475,0.291483484330631,0.2625929401751409,balanced,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\models\LR_model.joblib,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\figures\LR_confusion_matrix.png,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\LR_classification_report.txt,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\LR_classification_report.json,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\LR_test_predictions.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\LR_coefficients_by_class.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\LR_feature_importance.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\figures\LR_feature_importance.png,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\LR_permutation_importance.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\figures\LR_permutation_importance.png,"{'pca_coordinates_csv': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_10class\\metrics\\LR_PCA_coordinates.csv', 'pca_visualization_png': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_10class\\figures\\LR_PCA_visualization.png', 'pca_explained_variance_ratio': [0.41141503890577213, 0.2651334505032324], 'pca_explained_variance_ratio_sum': 0.6765484894090046, 'tsne_coordinates_csv': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_10class\\metrics\\LR_TSNE_coordinates.csv', 'tsne_visualization_png': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_10class\\figures\\LR_TSNE_visualization.png', 'tsne_sample_size': 3000, 'tsne_perplexity_used': 30.0, 'tsne_skipped': False}"
DT,Decision Tree,0.2847287550956413,0.2739414611877161,0.2870561561266047,0.2761749146157615,balanced,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\models\DT_model.joblib,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\figures\DT_confusion_matrix.png,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\DT_classification_report.txt,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\DT_classification_report.json,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\DT_test_predictions.csv,,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\DT_feature_importance.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\figures\DT_feature_importance.png,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\DT_permutation_importance.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\figures\DT_permutation_importance.png,"{'pca_coordinates_csv': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_10class\\metrics\\DT_PCA_coordinates.csv', 'pca_visualization_png': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_10class\\figures\\DT_PCA_visualization.png', 'pca_explained_variance_ratio': [0.2690638588069665, 0.23534424262560036], 'pca_explained_variance_ratio_sum': 0.5044081014325669, 'tsne_coordinates_csv': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_10class\\metrics\\DT_TSNE_coordinates.csv', 'tsne_visualization_png': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_10class\\figures\\DT_TSNE_visualization.png', 'tsne_sample_size': 3000, 'tsne_perplexity_used': 30.0, 'tsne_skipped': False}"
RF,Random Forest,0.30354343054248983,0.2911807863346854,0.3063317438420061,0.29126456141401813,,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\models\RF_model.joblib,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\figures\RF_confusion_matrix.png,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\RF_classification_report.txt,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\RF_classification_report.json,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\RF_test_predictions.csv,,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\RF_feature_importance.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\figures\RF_feature_importance.png,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\metrics\RF_permutation_importance.csv,D:\Programming\Data\Pycharm_data\数据探索\results\监督学习\disease_10class\figures\RF_permutation_importance.png,"{'pca_coordinates_csv': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_10class\\metrics\\RF_PCA_coordinates.csv', 'pca_visualization_png': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_10class\\figures\\RF_PCA_visualization.png', 'pca_explained_variance_ratio': [0.27431227210159953, 0.19738142009404197], 'pca_explained_variance_ratio_sum': 0.4716936921956415, 'tsne_coordinates_csv': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_10class\\metrics\\RF_TSNE_coordinates.csv', 'tsne_visualization_png': 'D:\\Programming\\Data\\Pycharm_data\\数据探索\\results\\监督学习\\disease_10class\\figures\\RF_TSNE_visualization.png', 'tsne_sample_size': 3000, 'tsne_perplexity_used': 30.0, 'tsne_skipped': False}"
