,age,bmi,bp_risk_score,cholesterol_mg_dl,blood_sugar_mg_dl,smoking_score
age,1.0,0.011724961370716432,0.15243716705112426,-0.07720916421954586,-0.20696541451880252,-0.030519616978165916
bmi,0.011724961370716432,1.0,0.16004043026616652,0.15319984209063375,0.10568828595822265,-0.04590375022351105
bp_risk_score,0.15243716705112426,0.16004043026616652,1.0,0.17794361798557756,0.11341212990114806,0.06909032677399239
cholesterol_mg_dl,-0.07720916421954586,0.15319984209063375,0.17794361798557756,1.0,0.21567994114847455,0.08278669662894163
blood_sugar_mg_dl,-0.20696541451880252,0.10568828595822265,0.11341212990114806,0.21567994114847455,1.0,0.02776881002787957
smoking_score,-0.030519616978165916,-0.04590375022351105,0.06909032677399239,0.08278669662894163,0.02776881002787957,1.0
