字段名,IQR_Q1,IQR_Q3,IQR,IQR异常下界,IQR异常上界,IQR异常值数量,IQR异常值占比,正常范围下限,正常范围上限,正常范围异常值数量,正常范围异常值占比,综合异常值数量,综合异常值占比
age,37.0,68.0,31.0,-9.5,114.5,0,0.0,10,90,2506,12.53,2506,12.53
height_cm,159.0,177.0,18.0,132.0,204.0,0,0.0,120,220,0,0.0,0,0.0
weight_kg,65.0,91.0,26.0,26.0,130.0,9,0.045,30,250,0,0.0,9,0.045
bmi,23.372576177285318,31.405613399728384,8.033037222443067,11.323020343620717,43.455169233392986,993,4.965,12,60,333,1.6650000000000003,1160,5.800000000000001
bp_systolic,122.0,151.0,29.0,78.5,194.5,0,0.0,70,250,0,0.0,0,0.0
bp_diastolic,71.0,85.0,14.0,50.0,106.0,0,0.0,40,150,0,0.0,0,0.0
cholesterol_mg_dl,185.0,236.0,51.0,108.5,312.5,1,0.005,80,500,0,0.0,1,0.005
blood_sugar_mg_dl,94.0,134.0,40.0,34.0,194.0,576,2.88,40,500,0,0.0,576,2.88
